Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4.0,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5.0,No comment
Niab S.,/user_details?userid=Qja0Uy8MkRWwCbqamozCzg,"New York, NY",7/3/2022,4.0,"Visited wan wan today for brunch which I believe they just started. First of, SUPER cute restaurant. Very chill vibes and great decor, perfect for brunch with friends. Brunch menu is different than dinner menu so make sure you check before going in case you wanted to try the lobster tomyum noodles or wagyu soup noodles (those are dinner only). The appetizers were really good, especially the duck salad - outstanding. 5/5. The pork belly was pretty good too and taste rather authentic. The massaman curry pot pie was also outstanding - good combo of French/Thai. The nam prik noodles was a meh for me but my friend loved it so either hit or miss. The rice clay pot was probably our least favorite. The rice was too dry and the meat lacked seasoning. Overall would recommend stopping by if you're feeling up for Thai fusion food for brunch!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Karla T.,/user_details?userid=gwYaVrAo5E0mm7EFMQStlQ,"New York, NY",2/10/2023,1.0,Not worth the time and expense. I thought I would just try this place but I am not sure Nikita needs another expensive Thai place. Thai diner is sufficient and the food is very authentic. I would walk one block away and eat there instead.,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Meredith C.,/user_details?userid=wLGO849rO9OOrOaGOMWfyg,"Madison Center, Madison, CT",3/6/2023,2.0,Food was very good but service was lacking. I did not get the dish that I ordered and the waitress insisted that I did.,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jackie F.,/user_details?userid=59XsZ2HFVvZ2vgefTgdAGA,"ny, NY",8/21/2022,4.0,Cute restaurant with authentic Thai dishes. Ordered the duck noodles with chicken skin. Would recommend for a casual dinner catching up with a friend.,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Natalie K.,/user_details?userid=wBulGtFn4m54VpWwgAc_IA,"New York, NY",11/18/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emily C.,/user_details?userid=iYRoJ1SGVzVQLkR1PAhu0A,"Madison, WI",12/18/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amitav B.,/user_details?userid=Y7EwUAa34Nw_3Nv7RheRjA,"New York, NY",6/12/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julie L.,/user_details?userid=C200cB-_AXYtJxidpZY9Qg,"Centreville, VA",7/29/2022,5.0,"LOVE!!! Everything we ordered was amazing, especially the crispy chicken skin. Will def be coming back!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alyson P.,/user_details?userid=_GMIDSfDnKgSuBMU0FKFOQ,"Neptune, NJ",11/18/2022,1.0,"While I'd like to say this place is great (because the food is). I had a BAD experience here. For starters I booked a table in the basement, I was told my table wasn't ready yet so they sat me at the bar (it was after my reservation time). After ordering at the bar I was brought to an upstairs table. With every gust of wind we were hit with freezing air. Our drinks were brought up from the bar downstairs after we had to ask again where they were and one was wrong. We had to track down our waiter for everything and he was too busy to assist us. Our meal was almost two hours and we desperately were ready to go.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Hannah K.,/user_details?userid=hebDqWuEav6SQCSEd_Xrcg,"New York, NY",5/14/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Selina L.,/user_details?userid=_4nWcGTGj_ZWmBQ28QED0Q,"Brooklyn, NY",7/23/2022,5.0,"From the good folks that brought you Wayla, Wan Wan does NOT disappoint. Service was impeccable and oh, the flavors, all the dishes were so simple yet complex at the same time. For starters we got the Moo tod nam pla (pork belly), taw hu tod (fried tofu), and ped krob salad (crispy duck salad). Just wow...you can't fail with any of these. Pork belly is obvs a no-brainer, the fried tofu was coated with almost a mochi-like exterior which was very unique and worked so well, and whoever thought to add crispy kale chips in that duck salad is a genius. The Guay tiew nua (wagyu beef noodle soup) had some of the tenderest slices of beef I've ever had, and the broth was just divine. Make sure to leave room for the pandan coconut pudding dessert, because I would eat that every day if I could. Wan wan if you're reading this, PLEASE sell this dessert for takeout because I will legit come by every day *please*",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Marissa S.,/user_details?userid=-q6PQPt4a-Cws-ePsLRBIQ,"Brooklyn, NY",6/30/2022,4.0,"Enjoyed a meal with a friend here recently, where we sampled a couple small dishes and a noodle dish. The tofu had a sticky/gooey quality to it which was pretty cool, though I think the peanut sauce could have been a little more flavorful or maybe I just needed more of it in general. The ribs were really great, sitting in a delicious sauce, and actually fairly easy to eat, tender and not too many bones. The crispy pork belly was good but I was expecting bigger pieces. On the other hand, the small pieces allowed for more chili sauce to pork belly bite ratio which was worthwhile. Finally we had the noodles with roast chicken, which I was hesitant about since I rarely order chicken dishes at restaurants, but the chicken skin here was so crispy and good, and the rest of the flavors and vegetables in the noodles were quite good together. Overall pretty solid food, great service, and with no liquor license yet, the bill stays pretty low!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sammy T.,/user_details?userid=7q-QJDVHlVAw_8xtRtJYXw,"New York, NY",9/27/2022,2.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eliza M.,/user_details?userid=kdoaIx7_URwOJl9i_irPsA,"Manhattan, NY",6/18/2022,5.0,"Super duper delicious. Complex, rich, deep flavors. The curry was kick-you-in-the-face spicy. Didn't have anything that I thought was less than a 10/10. I can't wait to return.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kiera R.,/user_details?userid=_7po2u931V7iJ5XLskGsKQ,"Flagstaff, AZ",10/1/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Annie S.,/user_details?userid=SPjRFHFcbXkO-ukwc-cgCg,"Nashville, TN",8/20/2022,3.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Keith E.,/user_details?userid=gE8U8UcFi_oh07E5hPyBOA,"New York, NY",6/2/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Abena G.,/user_details?userid=sdnfkvzlMDjKc64vZAZRYg,"New York, NY",10/29/2022,4.0,Really nice intimate spot for dinner with kind servers who provided great recommendations for dishes. The Guay Tiew Kua Gai (9/10) and fried tofu (8/10) were our favorites. Crispy chicken skin tasted burnt (5/10) and fish dish with broccolini was small and lacking flavor (4/10).,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ilana L.,/user_details?userid=mI-hLOQA9rdp1yZnFcACWg,"Washington, DC",8/14/2022,5.0,LOVE. Every dish we got was incredible. Particularly recommend the Guay Tiew Kua Gai dish.,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Brad R.,/user_details?userid=9McBywRKZwPDMslMb83xUg,"Manhattan, New York, NY",7/20/2022,2.0,"Not worth a visit for Thai food. Limited menu; mostly fried food that looks like it came out of a Trader Joe's frozen dinner box; and a mostly noodle centric main course menu that is not authentically ""Thai."" Seasoning didn't ""pop"" like Thai food is supposed to do when it hits your tongue. Menu super small. No liquor license. They don't permit BYOB either. A total ""miss"" for Thai cuisine. Two starts because they were nice but the kitchen is a rudderless ship.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
HL H.,/user_details?userid=zE2ZG7LfTvcpGMFwwbf_Hw,"Manhattan, New York, NY",5/5/2022,5.0,Food was excellent and authentic. Portions were small so you can try many different dishes. Service was great. Highly recommend.,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Robert R.,/user_details?userid=G8gBQIiwH6CnDk7015Yb1Q,"San Francisco, CA",5/23/2022,5.0,"Absolutely loved the overall dining experience here at Wan Wan! Everything from the food, the decor, the staff was excellent. Also, the location couldn't be better with it being so centrally located in the center of trendy Nolita. I felt the food was very authentic and the menu had a great selection of dishes you don't see at your basic Thai restaurant. I would highly recommend Wan Wan!",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Wendy Z.,/user_details?userid=XdWjk8VcqdGL4EVoGJ8VsA,"New York, NY",10/17/2022,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mike B.,/user_details?userid=9JeVNnGK0AtpJ3tMFqRO5A,"Brooklyn, NY",10/15/2022,1.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kristina M.,/user_details?userid=Ju3Ie6jwz0nISEhMmzkd_Q,"Queens, NY",1/14/2023,5.0,"Karasu is a Japanese speakeasy hidden behind a secret door inside Walter's, and has been my go-to for special occasions since before the pandemic. Their art deco interior paired with dimly lit private tables create a sexy, intimate atmosphere - especially as you sip on their unique twists on classic cocktails. Order the Koji Ribeye, for sure!!! I've been to my fair share of Japanese steakhouses, and this cut was seasoned and cooked to PERFECTION. Always one of the most memorable dishes that come to mind when friends or coworkers ask for restaurant recommendations. Definitely worth the drive out from Queens or Long Island, I will continue coming for as long as they remain open.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Edward W.,/user_details?userid=P4Td3m5oMGZGTfDVZzgztg,"San Mateo, CA",9/24/2022,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
A H.,/user_details?userid=sut0_eLrpr4plkSXMJsKkQ,"New York, NY",4/1/2023,5.0,Great experience. Extremely attentive and one of the best bartenders ever! She explained the cocktails and food and didn't rush us. Nonjudgmental  like many of the pretentious restaurants. Food was flavorful and simple in a good way. Excellent ingredients.,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
aimee m.,/user_details?userid=HqLECvyP5qr8ZSYXMrByWQ,"Brooklyn, NY",8/28/2022,2.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emily C.,/user_details?userid=4VF57y3nKie1iA_itAkCyg,"New York, NY",9/12/2022,5.0,"Everything we got was delicious and felt special (hamachi, Tuna, yaki imo, oysters). The oysters were particularly memorable- we contemplated getting a second order! Sat at the gorgeous bar, the whole place has a very sexy vibe and would be a perfect date spot.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Frances U.,/user_details?userid=TCPCyKLF1lnrpNSqpA4qNQ,"Manhattan, NY",11/24/2019,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kimmy U.,/user_details?userid=JpqpWvBQnJREquIQKvLfHQ,"Brooklyn, NY",8/28/2019,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Marisa M.,/user_details?userid=K2shysedw09xmT3V0kvhOA,"Jersey City, NJ",12/15/2019,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Meghan P.,/user_details?userid=iLdJ9z1QJvvNJZVM1YdbKg,"Brooklyn, NY",10/18/2022,5.0,Amazing service here. The host/waitress even moved our table to the best seat in the house when finding out it was for an anniversary. She was so kind and the food was amazing!,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nataliya M.,/user_details?userid=IMpO2_dPVnzoMNvzOM_oFA,"Brooklyn, NY",6/4/2019,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sydney K.,/user_details?userid=MAaltSn8l7OoGn5ZiewmfA,"Atwater Village, Los Angeles, CA",9/27/2022,5.0,"Absolutely one of my favorite dining experiences. We had to order seconds of some of the dishes because they were that good. This IS the first date restaurant you've been looking for. Make reservations for a friday or saturday, the atmosphere is perfect.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anthony L.,/user_details?userid=ZX0pZxoX_C_sOx3sZ9QTNA,"San Francisco, CA",3/5/2020,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Todd W.,/user_details?userid=lj1oE4CtWAEXg8OlAqD29A,"Pompano Beach, FL",4/30/2022,5.0,Excellent dinner with top notch service. Tuna and himachi apps with ribeye for two and a chocolate banana bread pudding. All so amazing. And the server helped us choose the perfect sake. We will definitely be back.,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lindsey O.,/user_details?userid=D-EKxJMdoUq2Q4yoiRz3nQ,"Brooklyn, NY",10/11/2019,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kaley R.,/user_details?userid=PrioZ6UL7liEWQRmNtgq6w,"Manhattan, NY",6/3/2017,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Liz S.,/user_details?userid=1bSo9vqRaZnl1mwsoZJP5g,"New York, NY",7/11/2018,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Art C.,/user_details?userid=fSPvk0Z_9eWm2kkUvhDJeg,"Brooklyn, NY",11/29/2018,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex Y.,/user_details?userid=jYM9XSus4IOGN3HZfSwh_A,"New York, NY",12/31/2018,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Connie L.,/user_details?userid=0xrpblsygbwCGaqRGCQDAg,"New York, NY",11/25/2018,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Carol L.,/user_details?userid=e8JV1W4xk6Rt7WMAaLNtBg,"Brooklyn, NY",7/16/2018,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Linda S.,/user_details?userid=0YMFCRTSJ12La2awjhOnqg,"Pittsburgh, PA",11/3/2019,2.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenni K.,/user_details?userid=h5l-bWTOITs7gazTEUUBuA,"Los Angeles, CA",10/6/2017,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Robert Z.,/user_details?userid=sn9RbCeE5DQ1ha-DgHFrGw,"New York, NY",2/21/2020,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jocelyn C.,/user_details?userid=liZiafUm6fwFu00CwzpH9w,"Napa, CA",6/20/2019,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Susan C.,/user_details?userid=OCvHZBj99a1ZvH74QUdVaw,"Brooklyn, NY",5/29/2019,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chrissie T.,/user_details?userid=uMlrrKmX1q46UkHlNY-CAA,"Manhattan, NY",3/17/2019,2.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Will V.,/user_details?userid=5OeEA67G0hJWkE2InqiUaw,"Jersey City, NJ",11/20/2017,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lola B.,/user_details?userid=0ZR8UvRUq0cWz5sYnHwYXg,"Manhattan, New York, NY",6/13/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tradell H.,/user_details?userid=T-cafvw8aEE1FXUVrFEIJw,"Brooklyn, NY",7/8/2019,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
C M.,/user_details?userid=Ba4gN4cqSO_usZB5RgpIZw,"Tacoma, WA",1/10/2019,1.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Albert H.,/user_details?userid=ThTUiH1fiRTXDqwH_NZHfg,"Brooklyn, NY",6/6/2016,5.0,"Karasu is a hidden gem located behind a secret door of Walter's, in the Fort Greene area of Brooklyn. Once inside you will find a beautiful and well designed space which includes a elegant bar and table seating. Food, service, and atmosphere are all top notch here. Tables were consistently full so you may want to book a reservation if you are dining during peak hours. Highlights of the meal for me included fresh oysters, duck wings, lobster pasta, and a perfectly cooked and seasoned rib eye. Come and dine at Karasu before the secret gets out!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Adam L.,/user_details?userid=JUnFLyeBlYs9ZZbP8R_W6w,"Brooklyn, NY",7/4/2018,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Charles C.,/user_details?userid=08eIe8ZbLEtZcAw8MSgnfg,"Bellevue, WA",4/4/2018,5.0,"Amazing little gem. Happened to stumble upon while strolling around the neighborhood and killing time to wait for a nearby restaurants seats. This place literally beat the other restaurant (which was also good, but this was even more memorable). A spontaneous find with my girlfriend and lots of dishes we both enjoyed. The steak is to die for - the best.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Doug J.,/user_details?userid=RuYiq1HyQVTtBxn0PaR-Bg,"New York, NY",2/5/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Deirdre L.,/user_details?userid=DPfnVtkPdnhPCAAuIEh3qQ,"Brooklyn, NY",11/11/2018,4.0,"Tonight I learned that you primarily go here for the cocktails. I wanted a family style meal and if I wanted to get one I might as well have just gone to Walter's. Not that this place is bad, just really come here for the cocktails and expect it to not be cheap.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicholas M.,/user_details?userid=qhM4NaN_T06p0VA6e8fANw,"New York, NY",11/26/2017,2.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
