Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Claire B.,/user_details?userid=tzQHvBKzCHWXWUQ9xdO55A,"Madrid, Spain",4/1/2023,5.0,"10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu shrimp, and crab fried rice."
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Sophia Z.,/user_details?userid=AVVRmRwJFsNDdLUvRy7oTQ,"Manhattan, New York, NY",4/14/2023,4.0,"Really cute Asian inspired speakeasy-esqué cocktail bar with some small bites. If you don't have a res, you will have to wait quite a while, so I would recommend that you make a res before coming. I got the HK Kong cocktail drink and it was quite sweet, with a hint of coffee. There was a bit of whipped cream on top and it tasted like a dessert liquor drink! Would recommend. The portion was a bit small but still very cute."
Tanya H.,/user_details?userid=EyxIGr0nzrPs-EwDYepymg,"New York, NY",4/14/2023,5.0,"Great ambience and interesting drinks. The Bird's Nest was very enjoyable, I liked the lollipop on top- it actually tasted like birds nest. Great place to chat with friends."
Amanda B.,/user_details?userid=SrP5Wc5bw1sDPVC8jOPXDw,"Brooklyn, Brooklyn, NY",6/27/2019,4.0,"Went looking for a casual place for lunch and walked into the Malt House. The place is a bit crowded and noisy, the service is above average. The choice of beers were excellent and I enjoyed the freshly made tacos. Friendly staff made us feel welcome.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Felicia M.,/user_details?userid=km17x0EDl4EiZuwy1bW7wg,"Queens, NY",2/27/2018,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Herbert E.,/user_details?userid=sqq5uqXs5NLg_fOI7DtO9Q,"Orlando, FL",7/1/2019,2.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yuh-Line N.,/user_details?userid=ZOkfE77ZQtpwDlQ-fN9UcA,"New York, NY",6/15/2015,3.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joanne K.,/user_details?userid=G0J99k9gZNEJqYex1ANcCQ,"New York, NY",6/29/2017,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mary C.,/user_details?userid=2igHhyl8i6bzEqb_68k3Nw,"Hyattsville, MD",1/31/2020,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joe I.,/user_details?userid=9bLLhB3Ji4miHY6I4jxgvA,"Saint Paul, MN",1/15/2018,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Marisha P.,/user_details?userid=_eKEQ5JGFwx6vtULXD8XSQ,"New York, NY",6/25/2020,4.0,I went here today with my family & the waiter was amazing super cool the food was good but the fries had to much salt  & the fried chicken sandwich wasn't nearly as good as the buttermilk chicken bites YOU GUYS SHOULD DEFINITELY MAKE THE CHICKEN FOR THE CHICKEN SANDWICH THE SAME AS THE BITES THAT BREADING IS WAAYYY BETTER !!! But other then that great place to eat,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah M.,/user_details?userid=UZa4E-15OHrYbXVNSaL44A,"Morristown, NJ",1/12/2018,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle B.,/user_details?userid=y22jM83qCgsNGryv9328gQ,"Frisco, TX",5/1/2017,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dela B.,/user_details?userid=-_RmWLGuQ0cTGbIeK1wD8Q,"New York, NY",10/9/2021,3.0,"honestly not worth the hype of his brothers house, completely disappointed on the drink quality! I'll only be going to the other one from now on",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jesus L.,/user_details?userid=2w_GO3GvMC3ir1ddZ-PBvg,"San Diego, CA",8/23/2017,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Justin W.,/user_details?userid=L9oNAdHMggT7rM2rCtmJhw,"Cedar Falls, IA",6/15/2019,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Madison C.,/user_details?userid=zWqyNpjcRn53oew7TLm0Eg,"Rumford, East Providence, RI",4/14/2019,4.0,"Food was good! Mimosa wasn't my favorite, but they had some other fun options for brunch cocktails. Our waiter started out very attentive, and then the place got busier and he definitely dwindled with refilling our drinks. We did bottomless and I really don't feel like I got $25 worth of drinks. They did have pitchers ready to refill drinks which made it faster, but I think I only had about 3 drinks which during a bottomless, I would have hoped for a couple more. Maybe it's just me but I left satisfied since the chicken and waffle club was so good!",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kristina I.,/user_details?userid=0EM2V91WMRe1V1ZrxiRN6g,"New City, NY",6/17/2019,3.0,"Came here for dinner and drinks with a friend.  The restaurant itself was well decorated.  It was very busy and very full of people when we arrived around happy hour.  We were seated at a small table in the front of the restaurant within about 30 minutes of arriving. The food and beer were both good, but nothing to brag about.  It was extremely loud and pretty difficult to have a conversation.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anthony M.,/user_details?userid=GTPPS6d8iQ6gHK-nrNerpw,"Bronx, New York, NY",4/10/2019,3.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sevelia J.,/user_details?userid=-f6UN__3eSyCQtb_hpHiuw,"Houston, TX",9/21/2019,4.0,Very cute place. Great service. I'm from Texas so the nachos was a little small but tasty.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joanne H.,/user_details?userid=bNzB5nxrjINlUjjHsVWykg,"West Orange, NJ",6/9/2019,3.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ying L.,/user_details?userid=ydcXmU-k8yRVQhrbvkXPqQ,"Brooklyn, NY",2/10/2020,4.0,"A beautiful bottomless brunch spot at FiDi. Came here with a large group  to celebrate a friend's birthday and we had an amazing time. The place is lovely, the food and ambiance is great. Although we were downstairs with other groups, we didn't feel like it was too loud to the point where we couldn't hear each other. The waiter came back multiple times to refill our drinks. You will definitely get your moneys worth of drinks if you come here for bottomless!",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Avtar S.,/user_details?userid=6_xA-47e3b2-stkuo1aftw,"Woodland, CA",3/4/2017,4.0,"Nice place to go grab brunch. Got the malt house omelet which tasted amazing. Would definitely try again. Nice decor and atmosphere with a huge bar. Try to sit in the front of the shop or upstairs if open. Service was horrible, so much attitude and rudeness which I don't see in California much. Good food tho.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ivana C.,/user_details?userid=XCo0XSf_mjOqiMHQelFuJQ,"Oakland Park, FL",9/22/2019,5.0,The plates are big enough and they are delicious! We ordered bottomless mimosas and it was my friends bday and they gave him a free dessert (it was the shit!!) i will definitely come back next time I visit NYC. Our server's name was Gillian and he was so friendly and nice.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Madhura K.,/user_details?userid=YZsQ3ARHUe6Kudr6yT-s8Q,"Jersey City, NJ",2/18/2018,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Davey L.,/user_details?userid=TlvbMwUE1m3act0idyaYJQ,"Lake Oswego, OR",4/1/2019,5.0,Went here for brunch and had a fantastic meal. The burger was juicy and cooked perfectly (medium rare) for my tasting. Portions are big and filled my brunch apetite. Isn't very price for NYC and good atmosphere.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Linh L.,/user_details?userid=8ATa2qznkwgx3ACAT5y0Hw,"Staten Island, NY",5/5/2019,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Katherine I.,/user_details?userid=Q_Dc9MSjYs05Q4YgZu6r4g,"Manhattan, New York, NY",3/10/2019,5.0,"I went to this restaurant thinking nothing of it, but as soon as I came inside I was welcomed by one of the two servers that were​ working. She was super sweet and led me to a table right away. For there being only two servers that night and having a full house, she remained poised​​ and nice all night long. She took my order and the food came out quick! The tables were also big enough to fit my entree, my boyfriend's entree and still some room for our drinks. We were treated well despite the rush and the food was delicious! Mostly all of the food has alcohol in it though so not suitable for children, as the restaurant is half-bar half-restaurant. The best part about this place is that it stays open late (til 3 am​), so if you're craving some good tavern eats late at night with some live​ly music and friendly servers, this is the place to go!",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Edward K.,/user_details?userid=KtjSOzY2IsxBHGlBKpdpnA,"Boise, ID",4/26/2017,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dika M.,/user_details?userid=7G4VlOdqLx40kTXtSFPZuA,"Austin, TX",5/20/2017,5.0,"We decided to stop here after reading the reviews on Yelp.  It was around 1:30pm after spending all morning at the 9/11 museum.  The place was crowded, but the 3 of us were seated right away at a small table near the front.  I had the chicken and waffle sandwich with fries with a Bronx Blonde on draft.  It was great!  My husband had the wings which he loved.  He had Sloop IPA.  My ultra picky teenage daughter loved her short rib breakfast burrito!  Giving this place five stars considering we all loved our meals.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sophie H.,/user_details?userid=7wWYh3RRulXwRAXYkuoQjQ,"Northwest Washington, Washington, DC",3/4/2017,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sean H.,/user_details?userid=uIKP9ya-_OwGNjeRkj_U-Q,"Bronx, NY",3/8/2018,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gus L.,/user_details?userid=Bk9ApvRuNUC3x2hHMRCG6Q,"Simi Valley, CA",5/4/2017,4.0,"I was visiting the national 911 memorial and wanted to get something good to eat with a drink and a good atmosphere. Well after yelping some places within walking distance I found this place. It has a nice feel to it and the food was great. They have a good choice of hand held food or something that requires a knife and fork. I wasn't that hungry so I just had some hot wing sliders and they did not disappoint. Topped it off with a Jameson whiskey with some ginger beer and I was all set. Give it a try, it won't disappoint.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jackie C.,/user_details?userid=f-L2GbRrhFyYOQx_i2vMjA,"Milton, FL",3/14/2020,5.0,"Walked off the Brooklyn Bridge and refused to eat fast food. In my semi-starved state of mind made my way into the aforementioned Malt house. Sabrina met us and seated us and immediately for a great starter Bloody Mary. Wifey had the classic American breakfast and I went wild with the turkey BLT. In less than a minute food was served fresh and neat. The food, atmosphere and music were incredible. Having been touristed on day one to NYC I was very pleased with my brunch experience at the Malt House. Highly recommend.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Albert W.,/user_details?userid=j5ezF5mEGpnDwdTmAHci7Q,"Orange, CA",10/23/2018,4.0,"My company had an event in their private room downstairs (had tv, food and bar).   Since I don't drink, I could only judge how much others drank.   They seemed to enjoyed themselves.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sabrina V.,/user_details?userid=HjjyaIQRvdxqpCrQ7o5CQw,"Manhattan, NY",3/14/2019,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Scott H.,/user_details?userid=pFBWqJb3GdjpOmUoyYlv7A,"Kansas City, MO",3/7/2019,4.0,"Delicious burger and fries. Friendly staff. Fun environment. Whether joining buds for a beer or catching a quick bite on the run, this is a solid choice in the FiD",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
JohnnyPrimeC. C.,/user_details?userid=lJUfh096CKqD06XOimcvAA,"Manhattan, NY",9/2/2016,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lena S.,/user_details?userid=rQDGhlJHNaLDsyuyelwFZA,"Bronzeville, Chicago, IL",7/27/2019,3.0,Nothing fancy about fish tacos  or the burger bites ( it is like dumpling) I would recommend only Burger here.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amanda K.,/user_details?userid=U27HuyioavjFUI8z7itk3w,"Kenilworth, NJ",1/30/2019,4.0,Very good pub food.  We had great service. The wings and cheese curds were awesome and the chicken sandwich was very good.  The only issue i had was how uncomfortable and tiny the seating was.  We were a part of 4 cramped on top of each other w very little room for our plates and drinks.  And the tiny round seat wasn't at all comfortable.  Maybe try sitting at the bar if your going to stay longer than a half hour.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ashley S.,/user_details?userid=re6phdfYoIcTVXf4q6Sm2w,"Sheepshead Bay, NY",2/6/2020,3.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle P.,/user_details?userid=xiiAR05OTDUm97-A526NHA,"Brooklyn, New York, NY",8/30/2018,5.0,"I went there yesterday with a friend and it was very crowded. The host was very friendly and was able to offer us a table all the way in the back. The Happy hour food and prices were amazing. The fish tacos were delicious as well as the cheese puffs. I had sangria and it was very good as well. The only cons is the very loud music. We have to scream in order to talk to our friends. Other than that, the place is very cool and near Fulton street train station and all the major shops in FiDi area.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sophia C.,/user_details?userid=M9MRn9BKXMP59BZjaX4BJQ,"曼哈頓, New York, NY",3/25/2018,3.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah S.,/user_details?userid=OLf0E5VhM50TRJcA-jUWlw,"Clonsilla, Dublin, Republic of Ireland",1/1/2019,4.0,Lovely lunch and cider here on a day of sightseeing. Staff are v good. We didn't have to wait for a table but it got v busy. If you're down at one world observatory it's worth strolling to here for to recharge the batteries for more touristy things!,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Omar W.,/user_details?userid=8VKKUgOiyD1JEpub6pQ4rg,"Richmond, CA",5/16/2021,5.0,Drinks were good the frozen drink machine was broken but they still had a good selection of cocktails to choose from. Also ordered wings and zucchini fries which were solid,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elton W.,/user_details?userid=KF5TkZRP2lWigBVigLEQAA,"New York, NY",4/20/2016,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Camille B.,/user_details?userid=3Ikh1FoNHS1rVuA-pofPBQ,"San Jose, CA",7/13/2018,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Henry C.,/user_details?userid=hgY-Zul1Ks5xrkOjkkLIWw,"New York, NY",6/28/2018,4.0,"I don't really like brunch spots because most of them lack flavor or pretty much taste the same anywhere else. However, Malt House was really unique and special. I ordered a burrito and my girlfriend ordered the Benedict with the Black Forest ham. The burrito was stuffed with breakfast foods and was really good. The Benedict was good too and it came with some really good potatoes. The fries here are amazing. They're extremely crispy and perfectly salted. I would definitely come back here.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sandra P.,/user_details?userid=Cj8obCSP_juP9ewPP3hByw,"Downtown, Houston, TX",6/30/2017,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Akylah L.,/user_details?userid=Y2KpbAUWDu75CQ3N_UlGQA,"Fredericksburg, VA",5/21/2019,3.0,"Went here looking for a place with bottomless for brunch! They offer bottomless mimosas, screwdrivers and tequila sunrise. The cocktails were ok! The screwdriver is probably the best one out of all of them. The place is nice & the upstairs view is incredible. However, the food was a little underwhelming. The short rib Benedict had no flavor and you could taste the butter/oil. The Belgian waffle and advocacy toast was amazing! Overall, nice spot if you're looking for a booze filled brunch.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicolette L.,/user_details?userid=MgMOz4GzrQYx72iAH08kTg,"New York, NY",12/9/2019,5.0,Had a 20 person birthday brunch here and I can easily say it was the best experience I've had. The service was amazing and the food was delicious! Thanks Leland for making my birthday so special!,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kathy P.,/user_details?userid=NLobJbrz-rrWCHsdADtNpA,"Norfolk, VA",6/5/2017,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Wendy B.,/user_details?userid=L92s-swtGg7dI7gqEKHkow,"Pompano Beach, FL",10/20/2018,5.0,"OMGEEZIE, we lucked out and got Vicki as our waitress - she recommended drinks (Tombstone), recommended the nachos, and the toffee pudding - insane, awesome, love love loved it all. Plus the vibe and decor was cool.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Leanna T.,/user_details?userid=fCTi_28XafCynY8q9j30BA,"Jersey City, NJ",5/1/2016,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amy L.,/user_details?userid=a_oZzob4aBqJN6p4Mv-WEw,"Brooklyn, NY",4/8/2018,4.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jeff B.,/user_details?userid=xxVgB7ZaStVPzhz9omABzw,"Winchester, MA",4/8/2018,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ali B.,/user_details?userid=lntpCbPFNgs5-e4pOHfaHw,"New York, NY",8/28/2018,5.0,Great place for a beer and a few apps. There is a lively post work crew but not too crowded and was able to sit down right away. There are about 10 beers on tap and a ton of fan options.,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rudy M.,/user_details?userid=UIwUxlmUtGm5_JF-N-gayw,"Houston, TX",5/30/2018,5.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chelsey J.,/user_details?userid=N6opjfWBMvZgo-l_DJAAgg,"New York, NY",6/6/2018,2.0,No comment,https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Leila D.,/user_details?userid=3HtmHP75umdn6-j436YMIA,"Bethesda, MD",3/6/2020,1.0,"Wings not warm, fatty and didn't seem fresh. Burger was oily. Lamb sliders were OK. Great server but food was awful for the price. Looks like a place for drinks only.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
J N.,/user_details?userid=bbahl3Y6TvHMyiQ_N1T5wA,"Greenwich Village, Manhattan, NY",11/4/2019,2.0,"FOR THE VEGANS OUT THERE: if you order the Beyond burger, you will-ironically- need to order it ""without cheese"". I got this burger and it came with cheddar (not Daiya or other vegan cheese--actual dairy cheese). Beware.",https://www.yelp.com/biz/the-malt-house-new-york-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
