Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Claire B.,/user_details?userid=tzQHvBKzCHWXWUQ9xdO55A,"Madrid, Spain",4/1/2023,5.0,"10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu shrimp, and crab fried rice."
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Sophia Z.,/user_details?userid=AVVRmRwJFsNDdLUvRy7oTQ,"Manhattan, New York, NY",4/14/2023,4.0,"Really cute Asian inspired speakeasy-esqué cocktail bar with some small bites. If you don't have a res, you will have to wait quite a while, so I would recommend that you make a res before coming. I got the HK Kong cocktail drink and it was quite sweet, with a hint of coffee. There was a bit of whipped cream on top and it tasted like a dessert liquor drink! Would recommend. The portion was a bit small but still very cute."
Tanya H.,/user_details?userid=EyxIGr0nzrPs-EwDYepymg,"New York, NY",4/14/2023,5.0,"Great ambience and interesting drinks. The Bird's Nest was very enjoyable, I liked the lollipop on top- it actually tasted like birds nest. Great place to chat with friends."
Kristen C.,/user_details?userid=5j45-9gHzb6PhDQq5TEOqw,"Rochester, NY",6/27/2019,4.0,Had the burrito bowl and added chicken. It was loaded with flavor and a large portion for $18 by NYC standards. BF got the chicken tacos which were packed and very tasty. Only downside was it was very loud and hard to hear one another while sitting very close but restaurant had good beer and good vibes.,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lauren G.,/user_details?userid=mFs-cxm-MwN35bCKunkA2Q,"Brooklyn, NY",12/1/2016,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Richie H.,/user_details?userid=C2nzoqU60AcRPHpCBsEScQ,"Philadelphia, PA",9/24/2016,4.0,"Mexican revolver is where it's at - jalapeño, agave, champagne, and lime. Came here for drinks and it's got a fair amount of space for large parties.  Service was good and would check this place out again if I'm in the area.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jason L.,/user_details?userid=QYw0lZQ_NyPNkqzJdnHP-g,"Brooklyn, NY",1/23/2016,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emily P.,/user_details?userid=1j5iNd0RBXHxTaxqOftxWA,"Manchester, MA",7/3/2018,5.0,"If you head to Katz deli and find a line a million miles long and are too hungry to wait, I hope you as lucky as we were to find this spot instead! Relaxed sophisticated pub with amazing food and fabulous friendly service. Highly recommend the Bibb leaf salad and The Burger. Quick delivery of food to table but no rush to leave- one of those places be glad to hang out for hours. I'll come back here for sure.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Samantha J.,/user_details?userid=eItSBJbdtnKjwuMofhBg7Q,"Syosset, NY",4/23/2017,5.0,"My friends and I had dinner and drinks here and it was amazing. The rum bowl was really good..there was a lot of ice in it though. We ordered a bunch of small plates, the kale dip, lobster Mac n cheese bites and chicken sliders. It got more crowded later on and the vibe was fun and casual.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jay J.,/user_details?userid=IsPFCn5ZLFUpNSV0PSKxfQ,"New York, NY",4/16/2015,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eric J.,/user_details?userid=eSU_HjKOA3Ppt8oS07oYkw,"New York, NY",10/30/2013,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
EarthaStarr P.,/user_details?userid=bj7F36Jfqq1O33ookWz0Ww,"Brooklyn, NY",7/8/2018,5.0,"The portions are HUGE. I got a burger (added blue cheese) and fries - fries were AMAZING! The rosemary oil they use is to die for; the blue cheese was very good quality too, perfect texture and flavor. I ended up only being able to eat half the meal, so I took the rest home. Beau got his burger with bacon (it was the bacon cubes, not slices...meh, fancy decision but not sure it was the right one...and yes foodies, I know there's a proper name for the cubes, can't remember it now and opted not to google in the middle of my review)...and selected Brussels sprouts instead of fries (small up charge). The Brussels sprouts were some of the best I've EVER had. Perfectly crisp on the outside, yet still tender on the inside and bursting with flavor. I would come back just for these.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sol C.,/user_details?userid=_JMJOpOL9chL10nlSYhaqA,"Encinitas, CA",8/3/2014,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jess L.,/user_details?userid=wZPizeBxMAyOSl0M0zuCjg,"Westchester County, NY",7/31/2014,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bianca B.,/user_details?userid=rqYkEFIFJFMx4_HJl7hqsg,"Chelsea, Manhattan, NY",12/1/2016,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Meaghan M.,/user_details?userid=iFxPAyHNDTYXg40eLkwezA,"New York, NY",2/8/2016,4.0,"Boulton & Watt's desserts are SO GOOD (5/5). I've been to B&W ~15 times, and I'd say about 12 of those times were just for dessert.  The actual food is also pretty good- great burgers (4/5). The servers are great. The atmosphere is cute; very rustic. Only cons-the place reeks of beer (in the summer i prefer to sit outside), and is generally really, really loud (also why I prefer to sit outside). Overall, I can get over the smell and the noise for their rocking desserts!! Everyone needs to try the cookie skillet (gooey inside, crisp outside and comes with milk) ASAP.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anne C.,/user_details?userid=ViUWkiRPqR210cSAMamICw,"San Diego, CA",12/31/2016,5.0,"Came here for an early NYE dinner with the family. I knew that I wanted the Quinoa & Kale salad and maybe the mac & cheese because the rest of the menu seemed too heavy for me. Wow!! Was I wrong. Everyone was so thrilled with all the dishes.  The cozy atmosphere and attentive service made the night extra special. We started with the mac & cheese, burrata, bone marrow toast, and brats in a blanket. I'm not a big meat eater but the brats in a blanket were absolutely delicious. We ordered the beef Wellington, squash spaghetti with eggplant meatballs, fish tacos, gnocchi, and of course the Quinoa & Kale salad. I wish we were hungrier; I wanted to try the butternut squash raviolis too.  Oh! And the hot apple cider hit the spot on a chilly night.  Thank you to the staff for a wonderful experience to help ring in the new year!",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rebecca D.,/user_details?userid=J4o1ZELRC-yqLjKX7R_EQg,"Nashville, TN",2/23/2017,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mike P.,/user_details?userid=wubQ1Q0xJoxhcOo954lH-Q,"Laguna Beach, CA",6/3/2018,5.0,Love this place! I live right down the street and I love bringing my dog here and sitting outside. Some of the best French fries in the city! So good! Great prices and overall fun atmosphere. Love coming here for and end of the night pit stop.,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tuwie N.,/user_details?userid=ErJcnrBcG9-HXiB_gTp_zA,"CA, CA",10/18/2015,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amit M.,/user_details?userid=0086PTqF6xFa3pejXIVQDQ,"Jersey City, NJ",11/6/2018,5.0,"Threw a little get together here on a Saturday night and they were great! Attentive staff (she literally managed 5-6 tabs out of a group of ~20ppl), reasonably priced drinks, the food looked good, and the music was downtempo and so chill.  Lots of rnb and some alternative music (think lykke Li or little dragon), which was perfect for 10-11pm. I honestly couldn't have asked for anything more!",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ezra S.,/user_details?userid=nrenkd8QkYOXNCAX5DyoUA,"Atlantic City, NJ",5/6/2019,5.0,"Got a burger for a late lunch on a Monday afternoon.. Couldn't have been better.. it was nice out and the breeze coming through the building made me feel like I was on vacation. There were two guys working and they were quick, friendly, and welcoming.. the burger was perfectly cooked and I asked for bacon on my burger. The little bacon cubes were a nice touch. I'll be back for sure.. probably tomorrow.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jay E.,/user_details?userid=0qiLG_6LGHANrl_Tew9X1Q,"New York, NY",10/27/2016,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Terrence O.,/user_details?userid=t4Lep6lN3Dn266pX1WHgvw,"NY, NY",4/3/2017,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Melissa B.,/user_details?userid=kkzLZoC5UxTTj7BUnxEToA,"Manhattan, NY",4/2/2016,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kirsten H.,/user_details?userid=44ntRxnNwvlWWNMwRVijUQ,"CO, CO",10/12/2015,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ashley C.,/user_details?userid=jTX8kcjbtRcpPLq5qdFwkQ,"East Moriches, NY",1/27/2019,1.0,We just ordered the chicken pot pie for delivery and it is so salty. Will not order this again.,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Thomas A.,/user_details?userid=EBW16o-gGF1mzGC1LgjF_w,"Watertown, MA",6/1/2014,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gabriela L.,/user_details?userid=_eUCmUseNXxnkbfQtNse9Q,"Montclair, NJ",9/29/2015,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Marielizabeth C.,/user_details?userid=Ty51Nt3INExCcrdGs0quIQ,"Brooklyn, NY",8/26/2016,1.0,It's a cool place to hang out with friends. I just wanted to try the cookie and it was just not what I expected. The cookie was just ehh...,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Susan T.,/user_details?userid=nLI8tbckgKFz_wyHUK4o0Q,"New York, NY",4/8/2018,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julia S.,/user_details?userid=ktDKmfYD_k5x3cB9pfN69g,"New York, NY",4/26/2019,5.0,"I haven't been here for quite some time but decided to bring some friends of mine to check it out since I've always loved coming here in the passed..as soon as we walked in we saw how packed it was, thankfully we were able to find some spots by the bar. Everyone who worked there was very helpful and kind, our bartender was Josh who truly rocked our night! He made killer drink recommendations as well as food recommendations (the croquettes were to die for) even though it was extremely busy he was very attentive to us and service was impeccable all around! This place will continue to be one of my favorite spots to go and I'll definitely recommend this place to more friends, the food, the drinks and the staff are all a 5/5, can't wait to come back again!",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Guslene B.,/user_details?userid=KJ4y8Vb20sA2M9EZzqIciA,"West Haverstraw, NY",9/2/2016,5.0,Went for happy hour and ended up getting dinner there too. The food was so good! Try the salmon! I was pleasantly surprised. The service was ok but the food made up for everything!,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jason G.,/user_details?userid=JK8sZimWZuzXge7WQZMuFg,"Queens, NY",4/19/2016,3.0,"Came here for a birthday dinner with 16 people and the service was really on point especially for such a busy place. Unfortunately, that was the only good thing about this place. The food was very blah. Had the chicken pot pie and truffle fries but it was nothing special. Tried the brick chicken though and it was the best dish of the night. Cocktails were nothing special either although I know it's not exactly a cocktail bar kind of place. Had the Mexican Revolver so avoid that.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jeremy S.,/user_details?userid=T288Jz-CZiHe69kg7dtKYw,"Los Angeles, CA",7/22/2018,5.0,I can't comment on the dining in here since I only ordered  takeout. I had the steak frites and it was absolutely delicious. It comes with delicious baked garlic and sauce. The fries were also really flavorful and crispy. The price is also reasonable for the quality you are getting.,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
G B.,/user_details?userid=pwlUlZ9Bz6rG1m8I13BsoQ,"New York, NY",9/22/2015,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sleepy B.,/user_details?userid=SLdUh0sOOrC6aA6tyoiwtg,"Prospect Heights, Brooklyn, NY",7/8/2016,4.0,The service was pretty good despite the wait for my cocktail.The Warm Kale and Artichoke is a great starter and the Amish Chicken is highly recommended and the Steak Frites.Since the weather was nice it's great for curbside dinning.,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dianne R.,/user_details?userid=52YAyBT7zJN6EmEfHdrHfA,"Brooklyn, NY",7/3/2015,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jackson M.,/user_details?userid=becS1uPWAJLPmH17XcvGag,"East Williamsburg, Brooklyn, NY",1/13/2019,5.0,"Went here with friends at 11:15 PM on a Sunday. We asked if it was too late or inconvenient to get some bites and a bottle of wine. They were so kind and accommodating. Luis, our server was fantastic and friendly, despite a late Sunday night crown as well as another person who might have been another server or possibly a really hands-on attentive manager. The food was delicious. Calamari, croquettes, Brussels sprouts, burrata. All delicious and interesting. If you need a delicious late night wine and dine on the LES, look no further.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ari A.,/user_details?userid=u2MMjHTckBiPFtVsllyuOw,"Sonoma, CA",3/18/2014,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Roopa S.,/user_details?userid=3G2T5eUTD5ieCfmCWVMKZA,"Manhattan, NY",6/7/2015,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tiffany J.,/user_details?userid=mTXmu6Ecx3fj6y1F1eRMKA,"New York, NY",1/21/2016,5.0,This place is awesome. The hamburger came out perfect. It was juicy and full of flavor. Not to mention the french fries. Definitely try their green beans. 5/5 for sure. Oh and you have to go there for lunch! The special is a steal. $15 for a sandwich drink and jar of pickles,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex Z.,/user_details?userid=Z2PISdtGHThSUUbFccGkrA,"Brooklyn, NY",8/15/2015,2.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emily T.,/user_details?userid=k5KzL1TVuqmF2WKX52VdPQ,"Manhattan, NY",6/5/2016,4.0,"Good service, nice venue inside and out. Been for after work drinks and brunch and both are good. There's a few outdoor tables for brunch which we snagged and was great. Veggie burger was delicious. Drinks specials from 10-4. Would recommend this place for both brunch and after work drinks!",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Christina E.,/user_details?userid=HtM-oHo2efOwDPAtrB2nVw,"Queens, NY",4/12/2014,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole H.,/user_details?userid=KLx9wFw41fyNic7HDiL4oQ,"Boston, MA",4/27/2018,4.0,"After the winter from hell in Boston, eating dinner outside in April during a weekend jaunt to NYC was a freaking dream. We shared the goat cheese, the incredible beet and kale salad (OMGGGGGGG so good), and veggie burger. I wish we had room for dessert but that'll have to be next time.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Danielle T.,/user_details?userid=NsBEZgpZv35gt89WGwNj0Q,"Port Washington, NY",10/29/2013,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lukas W.,/user_details?userid=MaEng3-hLXnXblKBxq0Iyw,"East Los Angeles, Los Angeles, CA",8/26/2014,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Norman F.,/user_details?userid=vi9_U6O_NMb8AsQl4MGU2A,"Essex, NJ",5/28/2018,4.0,"Safe bet on restaurants in the area, especially in your in this area of Manhattan. Good bet is the hamburger with sea salted fries as a good staple. The barkeeper's are talented at making the right cocktails of your choice. Start our with the pickle options. I'm a big fan of the beets, brussel sprouts and pineapple, not in any particular order.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alysha C.,/user_details?userid=DeDIgvmd0UmgHjIWOKe6Ew,"Brooklyn, NY",4/18/2018,4.0,Came here for Easter brunch and was pleasantly surprised by how good the food was. My only warning though: do NOT order dessert. It is bland and a waste of money. The entrees though are wonderful! I had the avocado toast and devoured every bite. Four other entrees were ordered by my group and they all were enjoyed. I'd DEFINITELY come here for brunch and if they could up their dessert game this will be a five star spot!,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole M.,/user_details?userid=cNU2e5WDaTuaD4IndJDSJw,"Brownsville, Brooklyn, NY",9/17/2015,3.0,"I visited this restaurant for a book club meeting. It wasn't a good choice of place simply because he music was kind of loud and it was hard to hear each other. This is a mixey spot. I think if you're trying to have w fun night out you would have w good time here. The menu is, in my opinion a little overpriced. I had a spinach and riddichio salad. The saad alone was $13 I also opted to add shrimp that was another $6. It was pretty good. It had apples and nuts in it. The waitstaff was not very friendly though. I would not return to dine here.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nusrat U.,/user_details?userid=Wx0-YwHSx0iWyeFmX6kWnA,"Brooklyn, NY",10/10/2016,4.0,"Food was pretty average for a brunch but had some interesting options for different types of eaters. The staff was accommodating although they did mess up a bit but nothing that couldn't be fixed. Overall, great experience and pretty affordable.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Hayley B.,/user_details?userid=UUknflGe2tH0lhSMt70ZZw,"New York, NY",10/10/2016,5.0,"Came here on Sunday for my birthday brunch and was blown away by the service and food! This place is great for groups. The atmosphere is great, but not too crazy.. perfect brunch spot! Couldn't have picked a better place to celebrate my birthday.",https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andrew G.,/user_details?userid=3KPlr7sw9zrdNA6nduEV6g,"Summit, NJ",3/4/2014,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ross B.,/user_details?userid=yRAtycPAWAG0xySC9zNC6w,"Newtown, PA",7/31/2016,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Peter D.,/user_details?userid=ITa3vh5ERI90G_WP4SmGUQ,"Brooklyn, NY",2/21/2013,4.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tatiana B.,/user_details?userid=zPi0yIaS57RNf-dDJdWWkg,"Manhattan, NY",1/5/2013,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Justin S.,/user_details?userid=-SkdK9egKMc7GhkR1GWghw,"New York, NY",5/1/2015,3.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sourivone V.,/user_details?userid=_RFOFsPSWICK0vbqNg5NpQ,"Queens, New York, NY",3/21/2013,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tova B.,/user_details?userid=xVZJVaLBpMN2HeTnZZ_V4w,"Jersey City, NJ",4/19/2015,5.0,No comment,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
