Saddmun A.,/user_details?userid=5Ujzt9wasye05ZSxMgVhyA,"New York, NY",5/18/2017,4.0,No comment
Gloria L.,/user_details?userid=BY7S10gPRsIrvDtI3hke4g,"Manhattan, New York, NY",10/9/2021,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joe C.,/user_details?userid=2Up8QerprQztnNbeoWmo5A,"Upper East Side, New York, NY",12/6/2021,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Caryn K.,/user_details?userid=h8ps260kDmIdzpjhrH0HSQ,"San Antonio, TX",11/6/2022,5.0,"I came here while visiting New York City for 1 day and the food was delicious! We did not have a reservation, but we were able to get a seat within 10 minutes around 6pm on a Sunday night. I'm from Texas, so I might not be the best judge, but this was easily the best Chinese food i've every had! I highly recommend this place.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tamika P.,/user_details?userid=TeiScU_qzhgCxkI9yRSrpA,"New York, NY",1/22/2023,4.0,The food is delicious. You can't really go wrong. I've eaten here two or three times and it is a staple.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vanessa L.,/user_details?userid=axNlV76LulLJ246bG_RBOQ,"Manhattan, New York, NY",6/1/2022,4.0,"4.5 stars! Pleasantly surprised by Blue Willow! I always pass by it during my treks to 5th Ave and usually notice small crowds by the restaurant. So, I decided to check it out with my family and friends. The interior is very beautiful, almost reminds me of Old 1950s Shanghai. As for the food, my favorites were the mapo tofu, red pork belly, and the green bean eggplant. Everything tasted very fresh and the fish and meat were tender. The spice level was also very tolerable. Overall, very happy about my experience here and looking forward to coming back!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gabrielle P.,/user_details?userid=QFT0DltUbP0kXYueS-n4bA,"New York, NY",2/14/2023,5.0,Really enjoyed the food ! Highly recommend the mountain fish and century egg! So good! And the remedy cocktail!,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michael J.,/user_details?userid=jTqWYjW14WFU3e-4EPpeAA,"Midtown West, New York, NY",3/25/2023,1.0,The food came out before the drinks and were just as cold. Their first excuse was that it was hot food on cold plates. Why would any restaurant use cold plates. Their second excuse was that they're busy. We didnt ask the food to come out in 3 minutes from ordering it.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ami Y.,/user_details?userid=DcfwEUbc9Q5q7L3vwXV5tA,"Seattle, WA",9/5/2021,3.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jasmine C.,/user_details?userid=lnEY10lmotj2aZ8TqnG-Wg,"New York, NY",10/7/2022,4.0,"4.5/5 stars. Service was quick and attentive without being overbearing. We ordered the pork belly, beef noodle, and chili wontons. The noodles were super chewy and had a good balance of spice. The pork belly wasn't super fatty and paired well right white rice. The wontons had a bit too much skin for me but the flavors were great. Would come back!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Wingyi M.,/user_details?userid=Aja1qknBS07gRe9nd_Fosg,"Brooklyn, Brooklyn, NY",9/12/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Isha L.,/user_details?userid=Svw40XLfhvHWYKj_3nREyg,"Manhattan, New York, NY",2/12/2023,2.0,We had a reservation for 8pm - the host directed us to a table upstairs in the corner under a chilly vent. The servers ignored us for over 30 minutes despite our multiple attempts to get their attention to order food. we ended up ordering our food around 8:40. food itself was decent in quality but I was annoyed at the service especially given that we were there to celebrate an occasion and had a reservation.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Zhuge Z.,/user_details?userid=r_4xxw7UNYCRu86Kjg5QJg,"New York, NY",2/12/2023,5.0,Wow! Came here with friends for a birthday. This may be the best schezuan restaurant in NYC. Service is great. They even gave us a free shot! Food tastes amazing! Will definitely be back!,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Laura S.,/user_details?userid=6H9g6agwpmiHG8ZYgBJq5w,"Manhattan, NY",8/21/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Laura Z.,/user_details?userid=7cGrH5dkTR2EhzrPyRX_dg,"Marietta, GA",8/24/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kat R.,/user_details?userid=mdwHhCSrHMQ2Rf58y1VM2g,"Metuchen, NJ",1/26/2023,2.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Liang R.,/user_details?userid=xvhbG0AyAdlyPAugK-mgSw,"Austin, TX",1/30/2023,1.0,I understand that we are suffering the inflation problem now but this cost 17 dollar?! I finished string bean and meat within one bite. Seriously?,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sami W.,/user_details?userid=Dn-6aneBXyqOfJzLV5il-w,"Queens, NY",10/13/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Natalie T.,/user_details?userid=whWjTuO4xHI7r02gtxuOcA,"Boston, MA",1/29/2023,4.0,"Went here after a trip to the Met. Delicious food. Ordered garlic eggplant, mapo tofu, and peking duck. Very delicious but the duck skin was not as crispy as I would've liked. Overall solid vibe- got to sit at the bar and very much enjoyed watching the bartender mix drinks. I ordered the Empress Wu which was beautiful and yummy!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah W.,/user_details?userid=deRm_Nb3ktF5gJkM-Rf9gw,"Palo Alto, CA",1/29/2023,3.0,"This place is still figuring it out. First off, their Resy system is messed up and they take reservations they can't honor. We had to wait 30 minutes for ours, which is ridiculous because the whole point of the reservation is that you don't have a wait that's 20+ minutes long. They're also understaffed, but that's a common problem these days. Finally, the food is alright. The snow pea sprouts were absolutely delicious, but everything else (chili oil beef, eggplant, etc.) was just fine. Drinks came after our food. Overall, not really worth the wait and if I'd known before that the wait would be long and the food just above average, I would have skipped.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Linda Z.,/user_details?userid=YnTfpHDBdOB69y4lYflRoQ,"Manhattan, New York, NY",11/28/2022,5.0,Traditional Chinese aesthetic and decor. The dishes were delicious and all had a nice touch of spice. If you love spicy food I would recommend.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Leslie C.,/user_details?userid=Hj31OAkYBTTb9qOHawpXVg,"New York, NY",3/13/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Winnie T.,/user_details?userid=xoZr9ufkdPYms2KJF07rKA,"Westfield, NJ",2/12/2022,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jane L.,/user_details?userid=_W1HZ_lW34YUjCIFIVrHFQ,"Queens, NY",10/24/2022,5.0,"We recently celebrated my husband's birthday at Blue Willow with a group of friends, and it was such an exceptional experience. The restaurant is modern and beautifully decorated, and we were lucky to be seated in a private area in the back even though we didn't request it. The food was excellent. A solid mix of traditional Szechuan with a creative twist, and it was all very well executed and flavorful. I particularly loved the Blue Willow fish (we got the sea bass), the Peking duck, and the snow pea sprouts. They have decent vegetarian options as well and accommodated my vegetarian friend who wanted to swap out meat with tofu in one of the dishes. The staff members were pleasant and friendly and I appreciated that they were forthcoming with recommendations that they personally preferred since none of us had been there before. I would definitely recommend it for a fun group outing or date night and hope to return soon.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ashley A.,/user_details?userid=bf5wLK7nAckr5gogBZ4SCA,"Outer Sunset, San Francisco, CA",11/26/2022,5.0,"Really cool vibe, great service and delicious food! The hot and sour soup was incredible - the best I've had!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
C.M. C.,/user_details?userid=hr8ZmeYG9nmzDActKjjh9Q,"Washington, DC",1/22/2023,4.0,So delicious. Love to visit this type of Chinese style restaurant with friends and go all in family style.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sammi K.,/user_details?userid=pmaTm5FT8EDhZLY-LQ6GmQ,"New York, NY",2/27/2022,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Annika K.,/user_details?userid=uaep9vt6x5-weFipsyZyKA,"New York, NY",4/16/2022,3.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Xiuzhen T.,/user_details?userid=hRKZlRsD-4uMaR8i0-k-1g,"Brooklyn, Brooklyn, NY",9/2/2022,5.0,"Great Chinese place, very authentic food. The dry pots are delicious and you can choose the level of spiciness you want. Their lychee ice cream is also bomb!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jee P.,/user_details?userid=Dhi3COYUy9Q-VDTNjpy5CA,"Sparks, NV",1/22/2023,4.0,Went here for a birthday party with a lot of friends. The food was pretty quick. Also many of the options for customers to select. My favorite was the Mapo Tofu. I think the food was very tasty with the mix of spice and everything,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Clarence N.,/user_details?userid=cSVVhw-EdaRQUAtDcbVLFA,"Centereach, NY",7/24/2022,5.0,Really really good. 120% recommend to come back for the water especially. Best water in NYC,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julie Ying X.,/user_details?userid=52R1k6G03m8ES7N1rXiB1Q,"Brooklyn, NY",7/10/2022,5.0,"I came here for an early dinner on a Friday afternoon with my family. This is probably the most popular Chinese restaurant on the block. I was excited to try this place since they have Hunanese dishes and I'm from Hunan. We ordered Miss Lou's Famous Beef Stew, Mountain Baked Fish, and the Stir Fried Eggplant & String Beans. It was a lot of food since the portions were large. The best dish was Miss Lou's Famous Beef Stew since it's a Hunanese dish not found in most Chinese restaurants. It's a hot and sour soup with thinly sliced beef, mushrooms, and noodles. There was a lot of ingredients and the broth was flavorful. The Mountain Baked Fish was okay but not much fish. There was definitely a lot of vegetables though (tofu skin, lotus root, bean sprouts). The Stir Fried Eggplant & String Beans was good too, very garlicky. Service was fast and friendly. I would come back and try other dishes. It's a bit pricey but the portions were large, lunch is definitely a better deal.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bill E.,/user_details?userid=aYTzNedjWmiATjxYuuiYbA,"Burbank, CA",3/12/2023,5.0,General Tso's Chicken was deliciously crispy and the string beans with pork were amazing.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kathleen L.,/user_details?userid=W2WU-WDi0f4YKSRoXrincQ,"Florence, Italy",11/12/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jasper L.,/user_details?userid=yLU1gR-o94JtKm5U5MW1sg,"Arcadia, CA",9/27/2022,4.0,"The food is solid. Does it make me ecstatic? Not so much, but the flavor is consistent and significantly downplayed from your typical Szechuan cuisine im used to.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Min Z.,/user_details?userid=5sNcGExXOFBYoLoytQsRQg,"Silver Spring, MD",10/2/2021,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Katie M.,/user_details?userid=a4lNTVYT7EoG7-8iMcpfcw,"Woodland Hills, Los Angeles, CA",1/1/2023,5.0,"Found this as a happy accident our first night visiting NYC. Great food and great service. It was busy and we walked in, but were able to sit at the bar. My husband got the pork belly and rice and loved it. This was the place we talked about going back to. I had the wonton soup and shrimp shumai.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Suzy X.,/user_details?userid=m81iotDE0m-TCsNz9tRpiA,"New York, NY",9/2/2022,1.0,"How did this place get so many stars?!? Maybe my meal was off, but we got delivery and the meal was disgusting. The kung pao chicken was a bright pink (shown in photo and even brighter pink in real life ), really off and meat was grossly chewy. We also got the lo mein, which was super stale like it was someone's leftovers microwaved three times over (see photo, though again, doesn't depict how inedible it was). In sum, the food definitely was not what was expected from the price and claims of authenticity. More like what you'd expect from a low-ranking, fast food Chinese joint.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Candy A.,/user_details?userid=PMDanLE0CjtVQ2K6RDi7vA,"Bronx, NY",1/15/2023,4.0,"Service beyond compare, Cherri was beyond great. This high end cuisine , no "" mombo sauce "". Put it on your list and don't ruin it with social media post. Lol",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Catherine C.,/user_details?userid=tkQTu_N6WCbPgI6RnBb2YQ,"Syracuse, NY",12/31/2022,5.0,Came here for New Years with my friends at a private table. Service was incredibly speedy and food was DELICIOUS. Highly recommend!!!,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ryn E.,/user_details?userid=CIhr-8qDcj_ZoBhc-5IZJQ,"New York, NY",10/4/2022,4.0,Very delicious sichuan food. Great ambience. Other places may be slightly more authentic though. Loved the bar vibes and the music. Super unique spot and great menu options. Love!,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Silvio D.,/user_details?userid=xl_gcUNGJGfDHOj36bHx0g,"New York, NY",1/4/2023,5.0,"One of the best Chinese restaurants that I have been to in NYC.  Everything is made for sharing, so it's best to come with a group of 4-8 people.  The soup dumplings and scallion pancakes were excellent.  The real treat was the garlic sauced pork.  It was cooked perfectly and had tremendous flavor.  The chicken ginseng soup was good, but I look forward to trying the beef soup.  I highly recommend this restaurant and I look forward to coming back in the future.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tim L.,/user_details?userid=_Iz53zf8KSOQkjI2q-ulPw,"New York, NY",3/11/2023,5.0,Food was delicious and the service was great. We had a big party and they gave us our own private room.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lorraine T.,/user_details?userid=xpDVPSLlZnU8MQaOS2HAwA,"Bronx, NY",6/25/2021,3.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Schelly Y.,/user_details?userid=pSfeno8ExPHvn8NXca5sfA,"Santa Clara, CA",9/21/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vicky P.,/user_details?userid=scl-D68tPAhZxShhdqxENQ,"Brooklyn, NY",1/3/2022,5.0,Ordered a number of dishes but the dishes that stood out to me were the Qing Hua Jiao Fish and the Changsha Spiced Chicken. Super flavorful and addicting! I enjoyed both and was the perfect complement to jasmine white rice.,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
meron R.,/user_details?userid=AN8U0gN2ENTxLhLduTr9zA,"Oradell, NJ",12/25/2021,5.0,"This place was just wonderful. From beginning to end blue willow showed my family great hospitality and service (our servers name was terry & he was super helpful and courteous) We had some delicious dishes, including S&P squid and shrimp, both of which I recommend. We had both fried and steamed dumplings and scallion pancake (fried is always better and scallion pancake was crispy and tasty) other dishes which we had which I highly suggest are the bass steamed w/ ginger and scallion, the crispy schezuan beef (probably one of the best dishes we had), chives w minced pork. Cocktails are a must if you live creative mixed drinks. All in all I look forward to going back and trying this place again.",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julia D.,/user_details?userid=FW8mro5HXV_xS3-JI8qWFQ,"Rutherford, NJ",3/15/2023,5.0,"Literally one of my fav places, the food and vibes are everything! The gin tonics are so good",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ruby C.,/user_details?userid=TdypaE4gZVoWkrSTC7aN8Q,"New York, NY",7/5/2021,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jay Á.,/user_details?userid=kEVYuzPxo-JAo8RKmRB7yA,"Franklin Square, NY",1/6/2022,4.0,"I never trust any Asian restaurant located in an area other than their natural habitat, if you know what I mean. Greeted and led to our table. The place was dimly lit, quiet and with customers that aren't the typical. We ordered several dishes. All are perfectly cooked, seasoned well. They came out from the kitchen really fast! I was amazed. The price is as expected being in the hub of midtown. I told myself that I'm gonna bring my friends in again after this visit but without reservation in a Jan 2 afternoon we were turned down!  So, we went to K-town instead. Oh well.. Anyway, I enjoyed the ambience, food and company. Staff is very cordial and snappy!",https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jen T.,/user_details?userid=OBX2WXvL1_2QV7OsY0Eg8w,"Manhattan, NY",1/21/2023,3.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Grace K.,/user_details?userid=-dalNrShfTcwbNlYklsolg,"Tampa, FL",6/6/2021,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jöshua M.,/user_details?userid=NI5bQ3UBUSZoYOJN_LygNw,"GA, GA",12/14/2021,4.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alice N.,/user_details?userid=_6J5aYPh3T-E2tZQnrJSDw,"Irvine, CA",6/28/2022,2.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David H.,/user_details?userid=KoYpTmHYh8t5gIv_fvsEQA,"New York, NY",9/27/2022,5.0,No comment,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
